Movie Name,File Name
The Incredible Hulk,The Incredible Hulk
Iron Man 2,Iron Man 2
Thor,Thor
Captain America: The First Avenger,Captain America The First Avenger
Marvel's The Avengers,Marvel's The Avengers
Iron Man 3,Iron Man 3
Thor: The Dark World,Thor The Dark World
Captain America: The Winter Soldier,Captain America The Winter Soldier
Guardians of the Galaxy,Guardians of the Galaxy
Avengers: Age of Ultron,Avengers Age of Ultron
Ant-Man,Ant-Man
Captain America: Civil War,Captain America Civil War
Doctor Strange,Doctor Strange
Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol 2
Spider-Man: Homecoming,Spider-Man Homecoming
Thor: Ragnarok,Thor Ragnarok
Black Panther,Black Panther
Avengers: Infinity War,Avengers Infinity War
Ant-Man and the Wasp,Ant-Man and the Wasp
Captain Marvel,Captain Marvel
Avengers: Endgame,Avengers Endgame
Spider-Man: Far From Home,Spider-Man Far From Home
